project,repo_url,repo_platform,notes
XYZ Cargo Add-ons,https://projects.opennext.eu/@xyz-cargo-add-ons/xyz-cargo-add-ons,Wikifactory,XYZ Cargo Open!Next pilot project
Open Future Factory,https://projects.opennext.eu/+fictionfactoryopennext/open-future-factory,Wikifactory,Fiction Factory Open!Next pilot project
Open HoLu,https://projects.opennext.eu/@tiwaneewaag/open-holu,Wikifactory,SODAQ/WAAG Open!Next pilot project
LastDesk OpenSourced,https://projects.opennext.eu/+stykkaxmaker/lastdesk-opensourced,Wikifactory,Stykka Open!Next pilot project
Proyecto Zona Cero 02,https://viralresponse.io/+sinestesia/proyecto-zona-cero,Wikifactory,modular medical building respiratory disease patient pre-triage
Community Composter,https://wikifactory.com/@luzleanne/community-composter,Wikifactory,urban community solution
Dronecoria,https://wikifactory.com/@aeracoop/dronecoria,Wikifactory,drone platform for reforestation
Pikon Telescope,https://wikifactory.com/+elektrictube/pikon-telescope,Wikifactory,3D-printed Raspberry Pi powered telescope
Breath4Life in Belgium,https://viralresponse.io/+makilab/breathoflife-in-belgium,Wikifactory,portable mechanical respirator
Drawing Turtle,https://wikifactory.com/+OttoDIY/otto-turtle-drawing-robot,Wikifactory,drawing robot
Pocket Science Lab,https://github.com/fossasia/pslab-hardware,GitHub,
Pocket Science Lab,https://github.com/fossasia/pslab-firmware,GitHub,
Airpup,https://github.com/mathewlippincott/airpup-balloon,GitHub,
JPL Open Source Rover,https://github.com/nasa-jpl/open-source-rover,GitHub,1000+ forks on GitHub
bGeigieNanoKit,https://github.com/Safecast/bGeigieNanoKit,GitHub,
Ultimate Hacking Keyboard,https://github.com/UltimateHackingKeyboard/firmware,GitHub,
Ultimate Hacking Keyboard,https://github.com/UltimateHackingKeyboard/electronics,GitHub,
Ultimate Hacking Keyboard,https://github.com/UltimateHackingKeyboard/bootloader,GitHub,
FossaSat-1,https://github.com/FOSSASystems/FOSSASAT-1,GitHub,launched to space in December 2019
LED Zappelin',https://github.com/BadenLab/LED-Zappelin,GitHub,LED stimulator for visual and optogenetics stimulation
OpenEEW,https://github.com/openeew/openeew-sensor,GitHub,open source seismometers
Hangprinter,https://github.com/tobbelobb/hangprinter,GitHub,a RepRap hanging from the ceiling
Corne keyboard,https://github.com/foostan/crkbd,GitHub,
